=== Run started  2025-11-09T12:41:09 ===
Args: r:/pythonstuff/addsimtype/addsimtype.py
Log file: logs\addsimtype_2025-11-09_12-41-09.log
Feed index loaded: 1730 (ICAO,version) MSFS entries.
NOOP        | RJBD | v0.3.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\gate15scenery-airport-rjbd-nanki-shirahama\manifest.json
WILL_UPDATE | RJCN | v0.1.4 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\gate15scenery-airport-rjcn-nakashibetsu\manifest.json
NO_MATCH    | MFSG | v1.3.0 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\mfsg-airport-rjfr-kitakyushu\manifest.json
NOOP        | ROAH | v1.0.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\mkstudios-airport-roah-naha\manifest.json
WILL_UPDATE | RJFF | v2.0.3 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\samscene3d-airport-rjff-fukuoka\manifest.json
NOOP        | RJCW | v1.5.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\simulacionextrema-airport-rjcw-wakkanai\manifest.json
NOOP        | RJFC | v1.5.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\simulacionextrema-airport-rjfc-yakushima\manifest.json
NOOP        | RJFF | v1.2.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\snjsim-airport-rjff-fukuoka\manifest.json
NOOP        | RJFS | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Japan\snjsim-airport-rjfs-saga\manifest.json
NO_MATCH    | DTSH | v2.0.1 | E:\MFS2020&2024 Addons\Airports\Asia\Kazakhstan\dtsh-airport-uaaa-almaty\manifest.json
NO_MATCH    | DTSH | v2.0.0 | E:\MFS2020&2024 Addons\Airports\Asia\Kazakhstan\dtsh-airport-uacc-nursultan\manifest.json
NO_MATCH    | MFSG | v1.1.0 | E:\MFS2020&2024 Addons\Airports\Asia\Lebanon\mfsg-airport-olba-beirut\manifest.json
NOOP        | VMMC | v2.4.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Macau\samscene3d-airport-vmmc-macau\manifest.json
WILL_UPDATE | WBGB | v1.1.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\secretstudio-airport-wbgb-bintulu\manifest.json
WILL_UPDATE | WBGG | v1.3.1 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\secretstudio-airport-wbgg-kuching\manifest.json
NOOP        | WBGR | v2.2.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\secretstudio-airport-wbgr-miri\manifest.json
WILL_UPDATE | WBKK | v2.4.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\secretstudio-airport-wbkk-kota-kinabalu\manifest.json
NOOP        | WMKK | v3.6.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\secretstudio-airport-wmkk-kuala-lumpur\manifest.json
NOOP        | WMKN | v1.2.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\secretstudio-airport-wmkn-terengganu\manifest.json
WILL_UPDATE | WBKW | v1.1.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wbkw-tawau\manifest.json
WILL_UPDATE | WMKC | v1.2.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wmkc-kota-bharu\manifest.json
WILL_UPDATE | WMKI | v1.0.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wmki-ipoh\manifest.json
NOOP        | WMKJ | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wmkj-senai\manifest.json
NOOP        | WMKL | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wmkl-langkawi\manifest.json
WILL_UPDATE | WMKP | v1.1.2 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wmkp-penang\manifest.json
NOOP        | WMSA | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Malaysia\shadescene-airport-wmsa-sultan-abdul\manifest.json
NOOP        | FSDG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Maldives\fsdg-airport-vrmm-maldives-velana\manifest.json
NOOP        | FSDG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Maldives\fsdg-scenery-maldives-north-male-atoll\manifest.json
NOOP        | FSDG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Maldives\fsdg-scenery-maldives-south-male-atoll\manifest.json
WILL_UPDATE | ZKPY | v1.1.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\North Korea\samscene3d-airport-zkpy-pyongyang\manifest.json
NOOP        | OOSA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Omen\simsoft-airport-oosa-salalah\manifest.json
NOOP        | OPGD | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Pakistan\mskproductions-airport-opgd-gwadar\manifest.json
NOOP        | OPKC | v1.1.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Pakistan\mskproductions-airport-opkc-jinnah\manifest.json
NOOP        | OPSD | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Pakistan\vuelosimple-airport-opsd-skardu\manifest.json
NOOP        | RPMY | v1.3.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Philippines\airwil-airport-rpmy-laguindingan\manifest.json
NOOP        | RPLC | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Philippines\cloudsurfasiasimulations-airport-rplc-clark\manifest.json
NOOP        | RPVP | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Philippines\cloudsurfasiasimulations-airport-rpvp-puerto-princesa\manifest.json
NOOP        | RPVB | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Philippines\stellarsimulations-airport-rpvb-bacolod\manifest.json
NOOP        | OERK | v3.7.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Saudi Arabia\azrsim-airport-oerk-riyadh\manifest.json
NOOP        | OEMA | v1.1.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Saudi Arabia\hawkskullz-airport-oema-madinah\manifest.json
NOOP        | OEAO | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Saudi Arabia\tuwaiqdesigns-airport-oeao-prince-abdul-majeed\manifest.json
NOOP        | OENN | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Saudi Arabia\tuwaiqdesigns-airport-oenn-neom-bay\manifest.json
NOOP        | OEDF | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Saudi Arabia\vertex-airport-oedf-king-fahd\manifest.json
NOOP        | WSSS | v1.3.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Singapore\tms-airport-wsss-singapore\manifest.json
NOOP        | RKSS | v4.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\asianairports-airport-rkss-gimpo\manifest.json
NOOP        | RKJB | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\flyhigh-airport-rkjb-muan\manifest.json
NOOP        | RKJY | v1.6.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\flyhigh-airport-rkjy-yeosu\manifest.json
NOOP        | RKPC | v3.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\flyhigh-airport-rkpc-jeju\manifest.json
NOOP        | RKTN | v1.2.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\flyhigh-airport-rktn-daegu\manifest.json
NOOP        | RKTU | v1.5.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\flyhigh-airport-rktu-cheongju\manifest.json
NOOP        | RKPC | v1.7.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\samscene3d-airport-rkpc-jeju\manifest.json
WILL_UPDATE | RKPK | v1.5.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\samscene3d-airport-rkpk-gimhae\manifest.json
WILL_UPDATE | CITY | v1.3.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\South Korea\samscene3d-sightseeing-seoul-city-wow\manifest.json
NOOP        | RCGI | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Taiwan\fsformosa-airport-rcgi-ludao\manifest.json
WILL_UPDATE | RCKW | v2.0.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Taiwan\fsformosa-airport-rckw-hengchun\manifest.json
NOOP        | RCLY | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Taiwan\fsformosa-airport-rcly-lanyu\manifest.json
NOOP        | RCQC | v2.5.7 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Taiwan\fsformosa-airport-rcqc-penghu\manifest.json
NOOP        | RCCM | v2.5.4 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Taiwan\fsformosa-airports-rccm-rcwa-qimei-wang-an\manifest.json
NOOP        | VTBD | v1.0.5 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtbd-don-mueang\manifest.json
NOOP        | VTBS | v1.0.11 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtbs-suvarnabhumi\manifest.json
NOOP        | VTBU | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtbu-u-tapao\manifest.json
NOOP        | VTCC | v1.0.3 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtcc-chiang-mai\manifest.json
NOOP        | VTCL | v1.2.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtcl-lampang\manifest.json
NOOP        | VTCT | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtct-mae-fah-luang\manifest.json
NOOP        | VTSM | v1.0.3 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Thailand\siamflight-airport-vtsm-samui\manifest.json
