=== Run started  2025-11-09T12:52:54 ===
WILL_MOVE   | WATG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-watg-frans-sales-lega -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-watg-frans-sales-lega
NOOP        | WIEE | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wiee-minangkabau\manifest.json
WILL_MOVE   | WIEE | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wiee-minangkabau -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wiee-minangkabau
NOOP        | WIPP | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wipp-sultan-mahmud\manifest.json
WILL_MOVE   | WIPP | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wipp-sultan-mahmud -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\mujagoaviation-airport-wipp-sultan-mahmud
NOOP        | WIGG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\projectmax-airport-wigg-fatmawati\manifest.json
WILL_MOVE   | WIGG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\projectmax-airport-wigg-fatmawati -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\projectmax-airport-wigg-fatmawati
NO_MATCH    | LIDT | v1.0.5 | E:\MFS2020 Addons\Airports\Asia\Indonesia\rcstudio-airport-lidt-trento-mattarello\manifest.json
NOOP        | WIDD | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\squawkid-airport-widd-hang-nadim\manifest.json
WILL_MOVE   | WIDD | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Indonesia\squawkid-airport-widd-hang-nadim -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\squawkid-airport-widd-hang-nadim
NOOP        | WARA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\suroboyosim-airport-wara-abdul-rachman\manifest.json
WILL_MOVE   | WARA | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\suroboyosim-airport-wara-abdul-rachman -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\suroboyosim-airport-wara-abdul-rachman
NOOP        | WILL | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\suroboyosim-airport-will-radin-inten-ii\manifest.json
WILL_MOVE   | WILL | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\suroboyosim-airport-will-radin-inten-ii -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\suroboyosim-airport-will-radin-inten-ii
NOOP        | WADL | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\worldsky-airport-wadl-lombok\manifest.json
WILL_MOVE   | WADL | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Indonesia\worldsky-airport-wadl-lombok -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\worldsky-airport-wadl-lombok
NO_MATCH    | WATT | v1.0.2 | E:\MFS2020 Addons\Airports\Asia\Indonesia\worldsky-airport-watt-el-tari\manifest.json
NOOP        | WIMM | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\worldsky-airport-wimm-kualanamu\manifest.json
WILL_MOVE   | WIMM | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Indonesia\worldsky-airport-wimm-kualanamu -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\worldsky-airport-wimm-kualanamu
NOOP        | OIAW | v1.0.3 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Iran\homasim-airport-oiaw-ahvaz\manifest.json
WILL_MOVE   | OIAW | v1.0.3 | E:\MFS2020 Addons\Airports\Asia\Iran\homasim-airport-oiaw-ahvaz -> E:\MFS2020&2024 Addons\Airports\Asia\Iran\homasim-airport-oiaw-ahvaz
NOOP        | OIIE | v1.1.4 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Iran\homasim-airport-oiie-tehran-imam-khomeini\manifest.json
WILL_MOVE   | OIIE | v1.1.4 | E:\MFS2020 Addons\Airports\Asia\Iran\homasim-airport-oiie-tehran-imam-khomeini -> E:\MFS2020&2024 Addons\Airports\Asia\Iran\homasim-airport-oiie-tehran-imam-khomeini
NOOP        | OIII | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Iran\homasim-airport-oiii-mehrabad\manifest.json
WILL_MOVE   | OIII | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Iran\homasim-airport-oiii-mehrabad -> E:\MFS2020&2024 Addons\Airports\Asia\Iran\homasim-airport-oiii-mehrabad
NOOP        | LLBG | v1.2.6 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Israel\aerosoft-airport-llbg-ben-gurion-airport\manifest.json
